,ID,filename,label
28709,955921,955921.jpg,neutral
28710,791719,791719.jpg,disgusted
28711,623027,623027.jpg,neutral
28712,101018,101018.jpg,neutral
28713,73679,73679.jpg,disgusted
28714,931148,931148.jpg,disgusted
28715,294287,294287.jpg,neutral
28716,14408,14408.jpg,neutral
28717,86934,86934.jpg,disgusted
28718,378501,378501.jpg,neutral
28719,805219,805219.jpg,disgusted
28720,846404,846404.jpg,neutral
28721,648499,648499.jpg,neutral
28722,797601,797601.jpg,neutral
28723,788308,788308.jpg,neutral
28724,271136,271136.jpg,neutral
28725,148938,148938.jpg,neutral
28726,948716,948716.jpg,neutral
28727,398414,398414.jpg,disgusted
28728,160910,160910.jpg,neutral
28729,877401,877401.jpg,neutral
28730,500393,500393.jpg,neutral
28731,416266,416266.jpg,neutral
28732,884376,884376.jpg,disgusted
28733,460670,460670.jpg,disgusted
28734,333060,333060.jpg,neutral
28735,462187,462187.jpg,disgusted
28736,14922,14922.jpg,neutral
28737,193703,193703.jpg,neutral
28738,729511,729511.jpg,disgusted
28739,740487,740487.jpg,neutral
28740,795900,795900.jpg,neutral
28741,218762,218762.jpg,neutral
28742,194123,194123.jpg,neutral
28743,344689,344689.jpg,neutral
28744,26764,26764.jpg,neutral
28745,933958,933958.jpg,neutral
28746,959844,959844.jpg,neutral
28747,11530,11530.jpg,neutral
28748,538223,538223.jpg,neutral
28749,701907,701907.jpg,disgusted
28750,135214,135214.jpg,neutral
28751,393312,393312.jpg,neutral
28752,530088,530088.jpg,neutral
28753,449499,449499.jpg,disgusted
28754,737874,737874.jpg,neutral
28755,416849,416849.jpg,neutral
28756,679985,679985.jpg,neutral
28757,239243,239243.jpg,neutral
28758,531816,531816.jpg,neutral
28759,853003,853003.jpg,neutral
28760,589242,589242.jpg,neutral
28761,1304,1304.jpg,disgusted
28762,103413,103413.jpg,neutral
28763,17156,17156.jpg,neutral
28764,563172,563172.jpg,neutral
28765,565263,565263.jpg,neutral
28766,814178,814178.jpg,neutral
28767,940658,940658.jpg,neutral
28768,636984,636984.jpg,disgusted
28769,174508,174508.jpg,neutral
28770,831192,831192.jpg,neutral
28771,970945,970945.jpg,neutral
28772,430551,430551.jpg,neutral
28773,73216,73216.jpg,neutral
28774,789213,789213.jpg,neutral
28775,71306,71306.jpg,neutral
28776,675817,675817.jpg,neutral
28777,894478,894478.jpg,neutral
28778,262966,262966.jpg,neutral
28779,309511,309511.jpg,neutral
28780,301420,301420.jpg,neutral
28781,350370,350370.jpg,neutral
28782,551161,551161.jpg,disgusted
28783,902432,902432.jpg,neutral
28784,953420,953420.jpg,neutral
28785,313419,313419.jpg,neutral
28786,858394,858394.jpg,disgusted
28787,770681,770681.jpg,neutral
28788,182248,182248.jpg,neutral
28789,120754,120754.jpg,neutral
28790,194258,194258.jpg,disgusted
28791,347046,347046.jpg,neutral
28792,902600,902600.jpg,neutral
28793,687874,687874.jpg,neutral
28794,497992,497992.jpg,neutral
28795,192341,192341.jpg,neutral
28796,537425,537425.jpg,neutral
28797,847134,847134.jpg,disgusted
28798,662753,662753.jpg,disgusted
28799,610014,610014.jpg,neutral
28800,463800,463800.jpg,neutral
28801,980575,980575.jpg,disgusted
28802,571922,571922.jpg,neutral
28803,407229,407229.jpg,neutral
28804,170650,170650.jpg,neutral
28805,819384,819384.jpg,neutral
28806,590038,590038.jpg,neutral
